Date,BTC Price,MVRV Ratio,mvrv,row_number,oversold,overbought,Adjusted_MVRV
2023-04-24,27520.1996729982,1.3811783002957243,0.4658995732876681,4664,-0.4731762368193966,1.9455248161533216,0.24192329550702574
2023-04-25,28302.6942180012,1.4200276691565183,0.5059190408327676,4665,-0.473036659737728,1.9453747673871913,0.2575427212056588
2023-04-26,28384.2340333139,1.4235483938858258,0.5094915386947504,4666,-0.47289710213510006,1.9452247411323143,0.2589451183413829
2023-04-27,29465.5514272355,1.477024680925322,0.5626939335848078,4667,-0.4727575640060806,1.9450747373819404,0.28025629602025703
2023-04-28,29350.811886616,1.4702125417748928,0.5560247338366752,4668,-0.472618045345234,1.944924756129316,0.2775464104976811
2023-04-29,29221.5145075979,1.4635342734283368,0.549456531552007,4669,-0.47247854614712814,1.9447747973676943,0.27488541995651294
2023-04-30,29362.0867974868,1.4704022578767917,0.5562108870722492,4670,-0.4723390664063327,1.9446248610903307,0.27760854520242784
2023-05-01,28114.9531873174,1.4082722730732773,0.4939262892577404,4671,-0.4721996061174245,1.9444749472904839,0.25276872072161793
2023-05-02,28690.5809959088,1.4365924829971037,0.5226508717193591,4672,-0.47206016527497674,1.9443250559614178,0.2641168742040637
2023-05-03,29045.0427735243,1.451816336140402,0.5378589549183966,4673,-0.4719207438735644,1.944175187096393,0.27018963946583907
2023-05-04,28855.8574465225,1.442232154865723,0.5283034126477095,4674,-0.47178134190777143,1.9440253406886807,0.26635566798319754
2023-05-05,29552.9695236704,1.4764666356946496,0.5621487556850572,4675,-0.4716419593721781,1.9438755167315502,0.27998429087503335
2023-05-06,28899.4629602572,1.4438431733925983,0.5299140488346084,4676,-0.47150259626136837,1.9437257152182745,0.26698380751691636
2023-05-07,28761.738434249,1.4298770649186636,0.5158911152160889,4677,-0.47136325256992784,1.9435759361421319,0.2613871882245648
2023-05-08,27727.2854091175,1.3780674793970844,0.46264653376643494,4678,-0.4712239282924475,1.9434261794964005,0.24051858798748627
2023-05-09,27642.4281092928,1.3740904355434072,0.45847695802532773,4679,-0.47108462342351665,1.943276445274364,0.23889877338645005
2023-05-10,27646.004902104,1.374436923428982,0.45884069925225274,4680,-0.47094533795772975,1.9431267334693079,0.2390282228029468
2023-05-11,26986.271065751,1.3419129156393799,0.42429104989000377,4681,-0.4708060718896814,1.9429770440745227,0.22581764464116932
2023-05-12,26773.3443591467,1.3312645141594366,0.4127972544589976,4682,-0.4706668252139714,1.9428273770832973,0.22146951511949936
2023-05-13,26841.3982913501,1.334669775406991,0.4164828338116609,4683,-0.47052759792519794,1.9426777324889297,0.22284437552893366
2023-05-14,26918.261597896,1.3383389448951497,0.42044353615376107,4684,-0.4703883900179644,1.9425281102847158,0.22432631373038808
2023-05-15,27231.6216052016,1.3524693935630603,0.43559594617452185,4685,-0.4702492014868742,1.942378510463957,0.23006230970126587
2023-05-16,27025.7181864407,1.341803499909168,0.42417341187836816,4686,-0.47011003232653614,1.9422289330199565,0.22571233230590104
2023-05-17,27401.0440610754,1.3601829268572232,0.4438006881836269,4687,-0.46997088253155717,1.9420793779460208,0.2331722876750065
2023-05-18,26843.2350938048,1.3327985116086003,0.41445869469958396,4688,-0.4698317520965496,1.941929845235462,0.22201935494336072
2023-05-19,26889.503631502,1.3352853122770867,0.4171480375147498,4689,-0.4696926410161275,1.9417803348815923,0.2230205123992276
2023-05-20,27100.8582878434,1.3456685046634278,0.428323056620181,4690,-0.4695535492849068,1.9416308468777252,0.22723715725625585
2023-05-21,26777.0977831677,1.3295846075531053,0.4109755854043011,4691,-0.46941447689750504,1.9414813812171836,0.22067087711022726
2023-05-22,26858.7370637054,1.3317961749410854,0.413373301701518,4692,-0.4692754238485435,1.9413319378932847,0.22156039458807233
2023-05-23,27226.8558763881,1.3497567101737327,0.4326993890118811,4693,-0.4691363901326433,1.9411825168993584,0.22886502589512928
2023-05-24,26341.4306446522,1.3061489911123056,0.38531947305501724,4694,-0.468997375744431,1.9410331182287273,0.21105451672044215
2023-05-25,26484.8359234366,1.3123025741224514,0.39210039667719543,4695,-0.46885838067853136,1.9408837418747265,0.21355890386655396
2023-05-26,26720.3838071303,1.3239511296491497,0.4048498696420639,4696,-0.4687194049295762,1.9407343878306893,0.21830723179344017
2023-05-27,26854.5403702513,1.3305591819855873,0.41203268146741906,4697,-0.4685804484921956,1.9405850560899491,0.22099262498838518
2023-05-28,28097.5211259497,1.3915609542334226,0.47670410410198855,4698,-0.4684415113610232,1.94043574664585,0.24576842068836016
2023-05-29,27765.0728693746,1.374801000797594,0.4592228070448438,4699,-0.46830259353069614,1.9402864594917322,0.2389706998025488
2023-05-30,27712.4915844535,1.3716625868817809,0.4559256388728827,4700,-0.4681636949958534,1.9401371946209434,0.23768666502589222
2023-05-31,27217.6832580362,1.3471225130758808,0.42988106161656264,4701,-0.4680248157511322,1.9399879520268293,0.22769738527241257
2023-06-01,26825.3713451198,1.3275581854795002,0.4087750942219813,4702,-0.46788595579117853,1.9398387317027446,0.2197036784433801
2023-06-02,27255.2279941555,1.3484996641230793,0.4313551622349713,4703,-0.4677471151106367,1.939689533642042,0.22823452735578775
2023-06-03,27079.4084643483,1.3398453504222019,0.42206648944822783,4704,-0.4676082937041528,1.9395403578380819,0.2246945588636814
2023-06-04,27158.25456955,1.3437165243217182,0.4262288136441439,4705,-0.4674694915663764,1.9393912042842203,0.22626113904790396
2023-06-05,25785.8514842198,1.2764177656342026,0.35210059380977105,4706,-0.4673307086919607,1.9392420729738262,0.1986873989443669
2023-06-06,27213.7705187025,1.3462357416001867,0.4289310648202641,4707,-0.46719194507555883,1.9390929639002632,0.22726411826792517
2023-06-07,26339.5790292227,1.303228127244474,0.38208964663583633,4708,-0.46705320071182577,1.9389438770569,0.20966623196506184
2023-06-08,26521.693600526,1.3121704817034914,0.39195517203675906,4709,-0.46691447559542176,1.9387948124371128,0.21331734279970288
2023-06-09,26470.6775780245,1.309627647538364,0.3891566839691915,4710,-0.4667757697210053,1.938645770034272,0.21226209521835535
2023-06-10,25863.2138506721,1.2799062289618253,0.3560381165008071,4711,-0.46663708308324026,1.938496749841761,0.20004778013080132
