Date,BTC Price,NUPL,Young-NUPL,Old-NUPL,Euphoria (2-of-3),Euphoria (3-of-3),Max Pain
2021-05-10,55902.9277399182,0.6405578349537252,0.21733745181168232,0.8523292011036259,55902.9277399182,0.0,0.0
2021-05-11,56612.1026487434,0.6444831698827627,0.22320007415547757,0.8541432023602238,56612.1026487434,0.0,0.0
2021-05-12,50972.355081239,0.6045414714666179,0.1325322340072942,0.837994732893176,0.0,0.0,0.0
2021-05-13,49368.6144739918,0.5916613488175495,0.09973035363339852,0.8325748030795066,0.0,0.0,0.0
2021-05-14,49997.3959011105,0.596666883780627,0.10661405747415678,0.8346251869526599,0.0,0.0,0.0
2021-05-15,47047.9633331385,0.5715168312725001,0.04684065769230952,0.8242453144794101,0.0,0.0,0.0
2021-05-16,46022.5037090006,0.5621443680760927,0.02288592471561408,0.8203189888953659,0.0,0.0,0.0
2021-05-17,43492.3954833431,0.5379544578327015,-0.037574129341131,0.809751339100902,0.0,0.0,0.0
2021-05-18,42789.8093921683,0.5309123226817872,-0.057818589546048405,0.806525896759072,0.0,0.0,0.0
2021-05-19,37642.5200017534,0.47059716695629605,-0.20437752927473044,0.7796082727826521,0.0,0.0,0.0
2021-05-20,40799.4021475745,0.5126839512115742,-0.11413792828381437,0.796535008773566,0.0,0.0,0.0
2021-05-21,37174.3311014027,0.4665209006669382,-0.22616774317067073,0.7765417761696711,0.0,0.0,0.0
2021-05-22,37643.4197983635,0.47413518530145127,-0.2157234230122895,0.7792251595493643,0.0,0.0,0.0
2021-05-23,34774.207221917,0.43146375705502754,-0.31679319545517365,0.7609852053000503,0.0,0.0,0.0
2021-05-24,38630.4091186441,0.4868319419742794,-0.1862209335996386,0.7846463397669551,0.0,0.0,0.0
2021-05-25,38269.7710747516,0.48274705754906566,-0.20020192407932755,0.7826041346380329,0.0,0.0,0.0
2021-05-26,39194.8588980129,0.494659493624016,-0.17686260437359963,0.7875519842623503,0.0,0.0,0.0
2021-05-27,38510.8570417884,0.4862208669678372,-0.20200991442927496,0.7833592747378504,0.0,0.0,0.0
